Dataset,EER(%),Threshold,Samples
ASV19,34.4311,1.2774,77713
Deepen,37.1944,-0.3418,7200
DF21,33.5585,-0.689,533928
ITW,24.7687,0.9319,31779
WildSpoof,0.4048,-0.3157,127367
Pooled,19.525,1.0725,777987
